sic,tlabel,stmt,num_companies,total_value,avg_value
4812,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,3,795469350716.00,938053479.617925
4812,Equity,EQ,5,784307222884.00,629460050.468700
4841,"Equity, Attributable to Parent",EQ,7,758236621540.00,391246966.738906
4412,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,12,747438927866.00,300055771.925331
4731,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,9,708887761461.00,242520616.305508
4700,"Equity, Attributable to Parent",EQ,23,706026956488.00,124695682.883787
4832,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,7,671488186964.00,345060733.280576
4731,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,6,666712321152.00,304157080.817518
4841,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,8,656285978000.00,808233963.054187
4911,"Dividends, Common Stock, Cash",EQ,17,650569449000.00,231272466.761465
4923,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,648976592000.00,652893955.734406
4412,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,12,611362892746.00,248319615.250203
4899,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,9,604428305078.00,200141822.873510
4911,"Net Loss January 31,2023",EQ,23,582132769466.00,241950444.499584
4833,Stockholders' Equity Attributable to Parent,EQ,6,571473538124.00,292763083.055328
4841,"Stock Repurchased and Retired During Period, Value",EQ,3,553924600000.00,1614940524.781341
4813,Net Income (Loss) Attributable to Parent,EQ,22,551720186139.00,283660764.081748
4931,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,11,499135979000.00,234336140.375587
4610,Partners' Capital,EQ,5,480491268000.00,299185098.381071
4011,Net Income (Loss) Attributable to Parent,EQ,4,462364091157.00,1138827810.731527
4011,"Comprehensive Income (Loss), Net of Tax, Attributable to Parent",EQ,3,460703000000.00,1505565359.477124
4841,Stockholders' Equity Attributable to Parent,EQ,5,452167638860.00,172057701.240487
4911,Revenues,EQ,2,447416000000.00,411985267.034991
4922,"Equity, Attributable to Parent",EQ,5,432846958000.00,317569301.540719
4922,Stockholders' Equity Attributable to Parent,EQ,5,404445438472.00,419549210.033195
4922,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,11,399255642000.00,343889441.860465
4931,Net Income (Loss) Attributable to Parent,EQ,19,391882342204.00,183982320.283568
4911,"Dividends, Common Stock",EQ,15,386827118192.00,230528675.918951
4841,"Net Loss January 31,2023",EQ,6,378693902000.00,872566594.470046
4700,"Treasury Stock, Value, Acquired, Cost Method",EQ,7,378004228368.00,1636381940.987013
4922,"Partners' Capital Account, Distributions",EQ,10,376151428000.00,255190928.086839
4931,"Dividends, Common Stock, Cash",EQ,16,369298126000.00,162973577.228597
4955,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,5,366115770172.00,200282149.984683
4922,"Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests",EQ,2,366015806000.00,1188363006.493506
4812,"Stock Repurchased During Period, Value",EQ,2,356987150000.00,4890234931.506849
4911,Net Income (Loss) Attributable to Parent,EQ,25,343055354652.00,141291332.228995
4841,"Treasury Stock, Value, Acquired, Cost Method",EQ,5,337789100000.00,735923965.141612
4841,Net Income (Loss) Attributable to Parent,EQ,9,329739318479.00,407588774.386897
4731,Stockholders' Equity Attributable to Parent,EQ,4,326885309784.00,249150388.554878
4700,"Stock Issued During Period, Value, New Issues",EQ,20,324975370196.00,897722017.116022
4610,"Partners' Capital Account, Distributions",EQ,13,321052173000.00,203326265.357821
4922,"Dividends, Common Stock, Cash",EQ,6,320871184000.00,430122230.563003
4932,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,6,312470244202.00,367180075.443008
4931,"Net Loss January 31,2023",EQ,12,311526823000.00,267404998.283262
4922,"Net Loss January 31,2023",EQ,10,304376685000.00,463282625.570776
4412,"Issuance of common stock and warrants, net of issuance costs",EQ,23,303750342588.00,896018709.699115
4911,"Stock Issued During Period, Value, New Issues",EQ,38,299092775222.00,237941746.397772
4955,"Equity, Attributable to Parent",EQ,5,284088227032.00,155921090.577387
4731,"Equity, Attributable to Parent",EQ,4,279277313300.00,278164654.681275
4955,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,5,273776956564.00,170259301.345771
4822,"Equity, Attributable to Parent",EQ,6,267971583052.00,117325561.756567
4522,Stockholders' Equity Attributable to Parent,EQ,5,267616961952.00,304802917.940775
4813,Equity,EQ,4,260905093000.00,1242405204.761905
4813,"Dividends, Common Stock, Cash",EQ,4,238669906000.00,2230559869.158878
4931,"Net Income (Loss) Available to Common Stockholders, Basic",EQ,3,234039800000.00,276642789.598109
4832,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,7,229996721820.00,83211549.138929
4813,Net loss,EQ,21,226867463324.00,324096376.177143
4922,"Net Income (Loss), Including Portion Attributable to Nonredeemable Noncontrolling Interest",EQ,3,216431594000.00,429427765.873016
4011,"Stock Repurchased and Retired During Period, Value",EQ,4,213116969000.00,608905625.714286
4924,Net loss,EQ,10,200379600000.00,276767403.314917
4941,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,3,195155113312.00,384163608.881890
4931,"Dividends, Common Stock",EQ,10,194481102000.00,226667951.048951
4911,Proceeds from Contributions from Parent,EQ,7,193247314000.00,265814737.276479
4924,Net Income (Loss) Attributable to Parent,EQ,12,187089070000.00,150393143.086817
4512,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,187039162000.00,1126741939.759036
4931,"Stock Issued During Period, Value, New Issues",EQ,14,186129985590.00,265520664.179743
4011,Net loss,EQ,4,186088709179.00,1057322211.244318
4412,Partners' Capital,EQ,2,183525274000.00,542974183.431953
4955,Stockholders' Equity Attributable to Parent,EQ,6,178899373180.00,97122352.432139
4813,"Comprehensive Income (Loss), Net of Tax, Including Portion Attributable to Noncontrolling Interest",EQ,2,176519150000.00,788031919.642857
4822,Stockholders' Equity Attributable to Parent,EQ,5,175399754548.00,75473216.242685
4522,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,171615332000.00,164068195.028681
4911,"Net Income (Loss) Available to Common Stockholders, Basic",EQ,6,171397200000.00,137668433.734940
4412,"Stock Issued During Period, Value, New Issues",EQ,28,157558244119.00,259141848.879934
4911,"Issuance of common stock and warrants, net of issuance costs",EQ,28,151486590305.00,259394846.412671
4931,Net loss,EQ,18,149151503725.00,145230286.002921
4931,"Adjustments to Additional Paid in Capital, Other",EQ,6,139921930000.00,233203216.666667
4833,"Net Income (Loss), Including Portion Attributable to Nonredeemable Noncontrolling Interest",EQ,4,139872000000.00,405426086.956522
4522,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,5,138153462000.00,76624216.306156
4812,Net Income (Loss) Attributable to Parent,EQ,5,134913132919.00,366611774.236413
4911,Net loss,EQ,18,134762535240.00,118524657.203166
4941,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,4,128904742616.00,192971171.580838
4924,"Partners' Capital Account, Distributions",EQ,3,127199000000.00,506768924.302789
4911,Profit (loss),EQ,10,126050818000.00,84089938.625750
4932,"Net Loss January 31,2023",EQ,3,124249253000.00,387069323.987539
4953,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,7,122821120525.00,220901295.908273
4911,"Noncontrolling Interest, Increase from Sale of Parent Equity Interest",EQ,11,122001442000.00,318541624.020888
4412,Profit (loss),EQ,9,116039188634.00,163435476.949296
4841,"Stock Repurchased During Period, Value",EQ,8,115452150000.00,394034641.638225
4841,Net loss,EQ,9,112834294320.00,295377733.821990
4011,Dividends,EQ,2,111575000000.00,509474885.844749
4610,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,8,111173876000.00,175076970.078740
4953,"Equity, Attributable to Parent",EQ,6,110435063312.00,43375908.606441
4833,"Stock Repurchased and Retired During Period, Value",EQ,2,109991000000.00,478221739.130435
4213,Net Income (Loss) Attributable to Parent,EQ,14,108511202000.00,73417592.692828
4400,Profit (loss),EQ,4,107223783000.00,285930088.000000
4700,Equity,EQ,2,104866838000.00,333970821.656051
4400,Comprehensive income,EQ,3,103928654000.00,305672511.764706
4841,"Dividends, Common Stock, Cash",EQ,2,98761620000.00,1161901411.764706
4922,"Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders",EQ,12,96212943000.00,56002877.182771
4911,"Treasury Stock, Value, Acquired, Cost Method",EQ,11,92703404000.00,254679681.318681
4924,"Partners Capital Account Distributions, Non-Cash",EQ,3,92322000000.00,1489064516.129032
4610,"Net Loss January 31,2023",EQ,4,88319558000.00,349089162.055336
4911,Dividends,EQ,3,82266000000.00,384420560.747664
4400,"Stock Issued During Period, Value, New Issues",EQ,15,81214115943.00,233373896.387931
4953,"Dividends, Common Stock, Cash",EQ,4,80040970000.00,276003344.827586
4812,"Stock Issued During Period, Value, New Issues",EQ,3,79551961392.00,820123313.319588
4924,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,6,77237071267.00,208186175.921833
4581,Equity,EQ,2,75246152000.00,214989005.714286
4400,"Increase (decrease) through acquisition of subsidiary, equity",EQ,2,74270153000.00,2652505464.285714
4941,Net Income (Loss) Attributable to Parent,EQ,10,73446006000.00,62242377.966102
4011,"Dividends, Common Stock, Cash",EQ,3,73340800000.00,330363963.963964
4953,Stockholders' Equity Attributable to Parent,EQ,7,72383611588.00,41840237.912139
4812,Net loss,EQ,5,71732029793.00,468836796.032680
4932,"Noncontrolling Interest, Increase from Sale of Parent Equity Interest",EQ,2,71543256000.00,455689528.662420
4911,Payments of Dividends,EQ,2,70829000000.00,357722222.222222
4911,"Other Comprehensive Income (Loss), Net of Tax",EQ,30,69072995866.00,11108555.140881
4923,"Dividends, Common Stock",EQ,2,68058871000.00,229154447.811448
4610,"Partners' Capital Account, Acquisitions",EQ,4,67419078000.00,793165623.529412
4953,"Net Loss January 31,2023",EQ,6,65817001188.00,230936846.273684
4911,"Stock Issued During Period, Value, Acquisitions",EQ,11,65372776778.00,391453753.161677
4210,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,4,65090455988.00,328739676.707071
4213,Net loss,EQ,13,64597425000.00,79651572.133169
4911,Other comprehensive income,EQ,10,63926999000.00,62550879.647750
4841,"Noncontrolling Interest, Decrease from Redemptions or Purchase of Interests",EQ,6,62747102000.00,154549512.315271
4841,"Treasury Stock, Retired, Cost Method, Amount",EQ,2,60248220000.00,941378437.500000
4911,"Noncontrolling Interest, Increase from Subsidiary Equity Issuance",EQ,11,58651134796.00,103077565.546573
4731,"Stock Repurchased During Period, Value",EQ,4,58475600000.00,122590356.394130
4610,"Temporary Equity, Carrying Amount, Attributable to Parent",EQ,2,57975448000.00,475208590.163934
4931,"Comprehensive Income (Loss), Net of Tax, Including Portion Attributable to Noncontrolling Interest",EQ,2,57941400000.00,371419230.769231
4813,"Stock Issued During Period, Value, New Issues",EQ,15,57143833544.00,143577471.216080
4911,"Stock Repurchased During Period, Value",EQ,6,57048470904.00,177169164.298137
4841,Share-based expense,EQ,16,56202935958.00,82895185.778761
4931,"Other Comprehensive Income (Loss), Net of Tax",EQ,10,56027179000.00,31074419.855796
4953,"Treasury Stock, Value, Acquired, Cost Method",EQ,2,55475600000.00,357907096.774194
4512,"Stock Issued During Period, Value, New Issues",EQ,9,55410319506.00,407428819.897059
4923,"Stock Issued During Period, Value, Acquisitions",EQ,2,55104834000.00,4592069500.000000
4813,Net Income (Loss) Attributable to Noncontrolling Interest,EQ,3,54817564278.00,372908600.530612
4924,"Partners' Capital Account, Contributions",EQ,2,54651000000.00,475226086.956522
4841,"APIC, Share-Based Payment Arrangement, Increase for Cost Recognition",EQ,16,53983006426.00,61978193.370838
4911,"Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests",EQ,2,53739545800.00,358263638.666667
4813,"Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests",EQ,3,53068100000.00,133336934.673367
4911,Issue of equity,EQ,5,52832093000.00,182810010.380623
4923,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,2,51915041000.00,229712570.796460
4911,"Distribution Made to Limited Liability Company (LLC) Member, Cash Distributions Declared",EQ,2,50874096000.00,371343766.423358
4911,Increase (decrease) in equity,EQ,4,50852079000.00,86630458.262351
4833,"Stock Issued During Period, Value, New Issues",EQ,4,50694026873.00,539298158.223404
4931,Stockholders' Equity Attributable to Noncontrolling Interest,EQ,2,50401650000.00,868993965.517241
4400,Dividends recognised as distributions to owners,EQ,4,50185447000.00,159318879.365079
4833,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,4,49650672902.00,188785828.524715
4991,Stockholders' Equity Attributable to Parent,EQ,2,48682941308.00,244637896.020101
4412,Dividends recognised as distributions to owners,EQ,8,48304850372.00,151425863.235110
4833,"Net Loss January 31,2023",EQ,3,47022000000.00,267170454.545455
4991,"Equity, Attributable to Parent",EQ,2,46825890104.00,245161728.293194
4832,"Treasury Stock, Value, Acquired, Cost Method",EQ,5,45984240432.00,176862463.200000
4922,Net Income (Loss) Attributable to Parent,EQ,8,45188144272.00,169880241.624060
4911,"Net Income (Loss), Including Portion Attributable to Nonredeemable Noncontrolling Interest",EQ,6,45134289000.00,70632690.140845
4922,"Partners' Capital Account, Acquisitions",EQ,3,44946244000.00,348420496.124031
4922,Payments of Distributions to Affiliates,EQ,2,44045878000.00,271888135.802469
4922,"Stock Repurchased During Period, Value",EQ,9,42933652000.00,104207893.203883
4011,"Stock Issued During Period, Value, Acquisitions",EQ,2,40802000000.00,3400166666.666667
4941,Net loss,EQ,10,40409008436.00,64654413.497600
4841,Retained Earnings (Accumulated Deficit),EQ,3,40186365000.00,1913636428.571429
4210,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,3,40067056000.00,146230131.386861
4731,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,8,39996520273.00,77064586.267823
4610,"Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests",EQ,2,38865000000.00,844891304.347826
4911,"Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders",EQ,20,38751846072.00,20481948.241015
4832,"Stock Repurchased During Period, Value",EQ,6,36412080000.00,160405638.766520
4400,Issue of equity,EQ,3,36240415000.00,210700087.209302
4412,Net Income (Loss) Attributable to Parent,EQ,24,36032140822.00,39858562.856195
4813,"Stock Issued During Period, Value, Treasury Stock Reissued",EQ,2,34269000000.00,368483870.967742
4833,"Dividends, Common Stock",EQ,4,34247000000.00,64132958.801498
4213,"Stock Repurchased and Retired During Period, Value",EQ,5,33771800000.00,126486142.322097
4813,"Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders",EQ,7,33769068596.00,110718257.691803
4911,Payments of Distributions to Affiliates,EQ,2,33682900000.00,78698364.485981
4899,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,7,33679623228.00,80766482.561151
4924,Net Income (Loss) Attributable to Noncontrolling Interest,EQ,2,33539985000.00,151081013.513514
4512,Net loss,EQ,12,33361990909.00,59047771.520354
4911,"Adjustments to Additional Paid in Capital, Other",EQ,5,33190497562.00,76475800.834101
4931,"Noncontrolling Interest, Increase from Subsidiary Equity Issuance",EQ,7,32657756000.00,54339028.286190
4813,"Treasury Stock, Value, Acquired, Cost Method",EQ,3,32314118000.00,129256472.000000
4931,Proceeds from Contributions from Parent,EQ,4,32237000000.00,101056426.332288
4833,"Treasury Stock, Value, Acquired, Cost Method",EQ,3,32213516000.00,153397695.238095
4922,Net loss,EQ,5,31991957000.00,163224270.408163
4911,"Noncontrolling Interest, Increase from Business Combination",EQ,10,31583917130.00,163647239.015544
4412,Net loss,EQ,24,30017478896.00,62929725.148847
4899,"Net Loss January 31,2023",EQ,5,29747858236.00,136458065.302752
4213,"Treasury Stock, Value, Acquired, Cost Method",EQ,10,28996104000.00,24043203.980100
4924,"Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders",EQ,3,28362953000.00,99171164.335664
4832,"Dividends, Common Stock, Cash",EQ,4,28214522642.00,76669898.483696
4813,Profit (loss),EQ,3,27957658000.00,465960966.666667
4841,"APIC, Share-based Payment Arrangement, Increase for Cost Recognition",EQ,14,27434561474.00,70165118.859335
4731,"Net Loss January 31,2023",EQ,8,27083793434.00,81824149.347432
4813,"Dividends, Common Stock",EQ,7,26310024000.00,70916506.738544
4833,"Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests",EQ,4,26272758000.00,96591022.058824
4922,"Stock Issued During Period, Value, Acquisitions",EQ,4,26018572000.00,342349631.578947
4932,"Noncontrolling Interest, Increase from Subsidiary Equity Issuance",EQ,3,25960879000.00,140329075.675676
4911,Dividends recognised as distributions to owners,EQ,3,24684408000.00,79116692.307692
4412,Comprehensive income,EQ,5,24532566000.00,57052479.069767
4941,"Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture",EQ,5,24316964000.00,43345746.880570
4911,Decrease Through Disposal Of Assets,EQ,2,24223000000.00,65291105.121294
4922,"Noncontrolling Interest, Decrease from Redemptions or Purchase of Interests",EQ,5,23820800000.00,125372631.578947
4899,"Net Income (Loss) Available to Common Stockholders, Basic",EQ,3,23630481000.00,241127357.142857
4932,"Other Comprehensive Income (Loss), Net of Tax",EQ,2,23571884000.00,36888707.355243
4400,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,10,23534028112.00,55244197.446009
4922,"Dividends, Common Stock",EQ,4,23236198000.00,133541367.816092
4841,"Stock Issued During Period, Value, Acquisitions",EQ,9,22755390000.00,267710470.588235
