sic,tlabel,stmt,num_companies,total_value,avg_value
4700,Equity, Attributable to Parent,EQ,23,450379528244.00,1.53608e+08
4911,Revenues,EQ,2,447416000000.00,4.11985e+08
4400,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,8,442373456626.00,4.6812e+08
4924,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,440163309000.00,3.72389e+08
4922,Limited Liability Company (LLC) Members' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,433784200000.00,1.48556e+09
4412,Stockholders' Equity Attributable to Parent,EQ,22,432433645454.00,2.12185e+08
4833,Equity, Attributable to Parent,EQ,5,428708637783.00,4.13412e+08
4412,Equity, Attributable to Parent,EQ,23,410505398192.00,2.35382e+08
4922,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,11,399255642000.00,3.43889e+08
4610,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,3,397779962000.00,1.01474e+09
4812,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,3,397734675358.00,9.38053e+08
4812,Equity,EQ,5,392153611442.00,6.2946e+08
4931,Net Income (Loss) Attributable to Parent,EQ,19,391882342204.00,1.83982e+08
4911,Dividends, Common Stock,EQ,15,386827118192.00,2.30529e+08
4841,Equity, Attributable to Parent,EQ,7,379118310770.00,3.91247e+08
4841,Net Loss January 31,2023,EQ,6,378693902000.00,8.72567e+08
4700,Treasury Stock, Value, Acquired, Cost Method,EQ,7,378004228368.00,1.63638e+09
4922,Partners' Capital Account, Distributions,EQ,10,376151428000.00,2.55191e+08
4412,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,12,373744189433.00,2.99955e+08
4931,Dividends, Common Stock, Cash,EQ,16,369298126000.00,1.62974e+08
4812,Stock Repurchased During Period, Value,EQ,2,356987150000.00,4.89023e+09
4731,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,9,354462624259.00,2.44795e+08
4911,Net Income (Loss) Attributable to Parent,EQ,25,343055354652.00,1.41291e+08
4841,Treasury Stock, Value, Acquired, Cost Method,EQ,5,337789100000.00,7.35924e+08
4832,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,335744093482.00,3.45061e+08
4731,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,6,333356160576.00,3.04157e+08
4841,Net Income (Loss) Attributable to Parent,EQ,9,329739318479.00,4.07589e+08
4700,Stock Issued During Period, Value, New Issues,EQ,20,324840170196.00,9.02334e+08
4923,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,324488296000.00,6.52894e+08
4922,Dividends, Common Stock, Cash,EQ,6,320871184000.00,4.30122e+08
4610,Partners' Capital Account, Distributions,EQ,13,318594007000.00,2.07283e+08
4932,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,6,312470244202.00,3.6718e+08
4931,Net Loss January 31,2023,EQ,12,311526823000.00,2.67405e+08
4412,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,12,305681446373.00,2.4832e+08
4922,Net Loss January 31,2023,EQ,10,304376685000.00,4.63283e+08
4412,Issuance of common stock and warrants, net of issuance costs,EQ,23,303750342588.00,8.96019e+08
4899,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,9,302214152539.00,2.00142e+08
4911,Stock Issued During Period, Value, New Issues,EQ,38,296570775222.00,2.40333e+08
4833,Stockholders' Equity Attributable to Parent,EQ,6,285736769062.00,2.92763e+08
4610,Partners' Capital,EQ,5,240245634000.00,2.99185e+08
4813,Dividends, Common Stock, Cash,EQ,4,238669906000.00,2.23056e+09
4931,Net Income (Loss) Available to Common Stockholders, Basic,EQ,3,234039800000.00,2.76643e+08
4813,Net loss,EQ,21,226867463324.00,3.24096e+08
4841,Stockholders' Equity Attributable to Parent,EQ,5,226083819430.00,1.72058e+08
4922,Net Income (Loss), Including Portion Attributable to Nonredeemable Noncontrolling Interest,EQ,3,218776394000.00,4.42867e+08
4922,Equity, Attributable to Parent,EQ,5,217074963000.00,3.16898e+08
4011,Stock Repurchased and Retired During Period, Value,EQ,4,213116969000.00,6.08906e+08
4922,Stockholders' Equity Attributable to Parent,EQ,5,202222719236.00,4.19549e+08
4924,Net loss,EQ,10,200379600000.00,2.76767e+08
4931,Dividends, Common Stock,EQ,10,194481102000.00,2.26668e+08
4911,Proceeds from Contributions from Parent,EQ,7,193247314000.00,2.65815e+08
4924,Net Income (Loss) Attributable to Parent,EQ,12,187063010000.00,1.59883e+08
4011,Net loss,EQ,4,186088709179.00,1.05732e+09
4931,Stock Issued During Period, Value, New Issues,EQ,14,185555985590.00,2.66987e+08
4955,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,5,183057885086.00,2.00282e+08
4922,Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests,EQ,2,183007903000.00,1.18836e+09
4813,Comprehensive Income (Loss), Net of Tax, Including Portion Attributable to Noncontrolling Interest,EQ,2,176519150000.00,7.88032e+08
4911,Net Income (Loss) Available to Common Stockholders, Basic,EQ,6,171397200000.00,1.37668e+08
4731,Stockholders' Equity Attributable to Parent,EQ,4,163442654892.00,2.4915e+08
4412,Stock Issued During Period, Value, New Issues,EQ,28,157558244119.00,2.59142e+08
4911,Issuance of common stock and warrants, net of issuance costs,EQ,28,149737590305.00,2.61322e+08
4931,Net loss,EQ,18,149151503725.00,1.4523e+08
4955,Equity, Attributable to Parent,EQ,5,142044113516.00,1.55921e+08
4931,Adjustments to Additional Paid in Capital, Other,EQ,6,139921930000.00,2.33203e+08
4833,Net Income (Loss), Including Portion Attributable to Nonredeemable Noncontrolling Interest,EQ,4,139872000000.00,4.05426e+08
4731,Equity, Attributable to Parent,EQ,4,139638656650.00,2.78165e+08
4955,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,5,136888478282.00,1.70259e+08
4812,Net Income (Loss) Attributable to Parent,EQ,5,134913132919.00,3.66612e+08
4911,Net loss,EQ,18,134762535240.00,1.18525e+08
4822,Equity, Attributable to Parent,EQ,6,133985791526.00,1.17326e+08
4522,Stockholders' Equity Attributable to Parent,EQ,5,133808480976.00,3.04803e+08
4813,Equity,EQ,4,132891093000.00,9.10213e+08
4911,Profit (loss),EQ,10,126050818000.00,8.40899e+07
4924,Partners' Capital Account, Distributions,EQ,3,124595000000.00,5.12737e+08
4932,Net Loss January 31,2023,EQ,3,124249253000.00,3.87069e+08
4953,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,7,122821120525.00,2.20901e+08
4911,Noncontrolling Interest, Increase from Sale of Parent Equity Interest,EQ,11,122001442000.00,3.18542e+08
4412,Profit (loss),EQ,9,116039188634.00,1.63435e+08
4841,Stock Repurchased During Period, Value,EQ,8,115452150000.00,3.94035e+08
4832,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,114998360910.00,8.32115e+07
4841,Net loss,EQ,9,112834294320.00,2.95378e+08
4011,Dividends,EQ,2,111575000000.00,5.09475e+08
4610,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,8,111173876000.00,1.75077e+08
4833,Stock Repurchased and Retired During Period, Value,EQ,2,109991000000.00,4.78222e+08
4400,Profit (loss),EQ,4,107223783000.00,2.8593e+08
4213,Net Income (Loss) Attributable to Parent,EQ,14,106405866000.00,7.98244e+07
4400,Comprehensive income,EQ,3,103928654000.00,3.05673e+08
4841,Dividends, Common Stock, Cash,EQ,2,98761620000.00,1.1619e+09
4941,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,3,97577556656.00,3.84164e+08
4922,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,12,96212943000.00,5.60029e+07
