sic,tlabel,stmt,num_companies,total_value,avg_value
4700,APIC, Share-based Payment Arrangement, Increase for Cost Recognition,EQ,12,13601828124.00,8.2938e+07
4512,Treasury Stock, Value, Acquired, Cost Method,EQ,6,13506872000.00,7.58813e+07
4833,Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests,EQ,4,13136379000.00,9.6591e+07
4941,Dividends, Cash,EQ,2,12803836588.00,7.48762e+07
4400,Dividends, Common Stock, Cash,EQ,8,12714267609.00,6.55375e+07
4731,Net Income (Loss) Attributable to Parent,EQ,6,12384904931.00,5.18197e+07
4922,Noncontrolling Interest, Increase from Subsidiary Equity Issuance,EQ,6,12280800000.00,4.0936e+07
4922,Dividends,EQ,2,12246392000.00,2.66226e+08
4512,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,11,12121455702.00,2.23643e+07
4400,Other comprehensive income,EQ,3,12057179000.00,1.68868e+07
4213,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,3,11865706000.00,7.91047e+07
4922,Partners' Capital Account, Treasury Units, Purchased,EQ,3,11847670000.00,1.03927e+08
4931,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,11,11820116000.00,1.11301e+07
4813,Issuance of common stock and warrants, net of issuance costs,EQ,9,11662001278.00,6.51508e+07
4610,Stock Repurchased and Retired During Period, Value,EQ,3,11588308000.00,4.93119e+07
4922,Stock Repurchased and Retired During Period, Value,EQ,3,11365758000.00,5.23768e+07
4400,Stock Repurchased During Period, Value,EQ,4,11326390000.00,3.86566e+07
4700,Temporary Equity, Carrying Amount, Attributable to Parent,EQ,2,11236503623.00,1.07014e+08
4941,Retained Earnings (Accumulated Deficit),EQ,2,10351580000.00,7.39399e+08
4911,Proceeds from Contributed Capital,EQ,2,10349000000.00,2.11204e+08
4812,Stock Issued During Period, Value, Employee Stock Purchase Plan,EQ,3,10212048698.00,1.07495e+08
4924,Issuance of common stock and warrants, net of issuance costs,EQ,7,10005078478.00,3.66486e+07
4412,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,12,9984834145.00,1.54087e+07
4213,Dividends, Cash,EQ,3,9925682000.00,1.47924e+07
4513,Treasury Stock, Value, Acquired, Cost Method,EQ,2,9679327000.00,4.03305e+08
4833,Net loss,EQ,3,9663455434.00,3.88091e+07
4922,Partners' Capital Account, Sale of Units,EQ,4,9445928000.00,2.05346e+08
4213,Net Loss January 31,2023,EQ,2,9363773000.00,1.76675e+08
4813,Noncontrolling Interest, Decrease from Redemptions or Purchase of Interests,EQ,2,9337600000.00,5.59138e+07
4812,Share-based expense,EQ,3,9267955400.00,1.49483e+08
4923,Issuance of common stock and warrants, net of issuance costs,EQ,4,8904088670.00,5.67139e+07
4932,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,3,8870513000.00,8.21344e+07
4512,Stock Repurchased During Period, Value,EQ,5,8854813000.00,3.47248e+07
4731,Equity,EQ,2,8830989000.00,4.28689e+07
4813,Stock Issued During Period, Value, Acquisitions,EQ,7,8819461317.00,3.31559e+07
4813,Stock Repurchased During Period, Value,EQ,5,8791308290.00,8.61893e+07
4833,Issuance of common stock and warrants, net of issuance costs,EQ,2,8780268000.00,1.75605e+09
4731,Treasury Stock, Value, Acquired, Cost Method,EQ,2,8697475000.00,1.06067e+08
4932,Stockholders' Equity Attributable to Parent,EQ,3,8628470117.00,3.28079e+07
4931,Temporary Equity, Stock Issued During Period, Value, New Issues,EQ,2,8595130149.00,8.59513e+08
4941,Stock Issued During Period, Value, New Issues,EQ,9,8568273000.00,2.48356e+07
4813,Income Tax Expense (Benefit),EQ,3,8466000000.00,2.1165e+08
4512,Issue of equity,EQ,2,8463198000.00,7.69382e+08
4400,Adjustments to Additional Paid in Capital, Equity Component of Convertible Debt,EQ,2,8428560000.00,8.42856e+08
4512,Stock Repurchased and Retired During Period, Value,EQ,4,8401868000.00,2.8972e+08
4931,Proceeds from Issuance of Common Stock,EQ,3,8243000000.00,1.2303e+08
4911,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,10,8185252584.00,1.09282e+07
4512,Share-based expense,EQ,11,8117356226.00,2.0921e+07
4922,Proceeds from Contributions from Parent,EQ,2,8100000000.00,1.42105e+08
4522,Stock Issued During Period, Value, Reverse Recapitalization,EQ,2,8099484000.00,2.53109e+08
4610,Partners' Capital Account, Contributions,EQ,4,8009492000.00,1.97278e+07
4833,Share-based expense,EQ,5,7971690000.00,5.38628e+07
4813,Temporary Equity, Carrying Amount, Attributable to Parent,EQ,3,7876335000.00,6.10569e+07
4841,Stock Issued During Period, Value, Stock Options Exercised,EQ,9,7834523999.00,2.01921e+07
4911,Stock Redeemed or Called During Period, Value,EQ,7,7780624673.00,5.9851e+07
4911,Noncontrolling Interest, Decrease from Redemptions or Purchase of Interests,EQ,11,7701733000.00,2.35527e+07
4955,Net Income (Loss) Attributable to Parent,EQ,8,7641367538.00,1.34295e+07
4833,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,6,7606666000.00,3.09214e+07
4833,Dividends, Preferred Stock,EQ,3,7497504000.00,1.30165e+07
4922,Redeemable Noncontrolling Interest, Equity, Carrying Amount,EQ,2,7236936000.00,2.41231e+08
4911,Dividends, Preferred Stock,EQ,7,7049064869.00,1.39035e+07
4512,Dividends, Cash,EQ,3,6890682000.00,9.06669e+07
4911,Treasury Stock, Retired, Cost Method, Amount,EQ,2,6864000000.00,1.80632e+08
4700,Stock Repurchased and Retired During Period, Value,EQ,4,6690168000.00,5.81754e+07
4931,Stock Repurchased During Period, Value,EQ,3,6687400000.00,1.68874e+07
4813,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,6,6654384302.00,1.00671e+07
4512,Adjustments to Additional Paid in Capital, Warrant Issued,EQ,13,6618897810.00,2.10793e+07
4922,Partners' Capital Account, Unit-Based Payment Arrangement, Amount,EQ,7,6603421000.00,1.31805e+07
4941,Dividends, Common Stock, Cash,EQ,3,6595054000.00,7.01601e+07
4922,Stock Issued During Period, Value, Dividend Reinvestment Plan,EQ,2,6577331000.00,3.91508e+07
4412,Dividends, Common Stock, Cash,EQ,6,6488907424.00,2.4033e+07
4813,Dividends, Preferred Stock, Cash,EQ,3,6455552000.00,3.54701e+07
4412,Temporary Equity, Carrying Amount, Attributable to Parent,EQ,5,6439507842.00,6.31324e+07
4832,Stock Issued During Period, Value, New Issues,EQ,6,6410035956.00,4.81958e+07
4400,Adjustments to Additional Paid in Capital, Dividends in Excess of Retained Earnings,EQ,2,6396952000.00,2.80568e+07
4610,Partners' Capital Account, Redemptions,EQ,3,6391796000.00,1.25329e+08
4213,Dividends, Common Stock,EQ,3,6380480000.00,1.62353e+07
4931,Stock Redeemed or Called During Period, Value,EQ,4,6327526000.00,6.26488e+07
4412,Dividends,EQ,9,6288644118.00,2.72236e+07
4932,Noncontrolling Interest, Decrease from Deconsolidation,EQ,2,6268168000.00,9.21789e+07
4213,Dividends, Common Stock, Cash,EQ,4,6247969000.00,1.17223e+07
4610,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,7,6153208000.00,2.37576e+07
4700,Issuance of common stock and warrants, net of issuance costs,EQ,11,6122392244.02,4.6033e+07
4911,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,20,6078969754.00,6.37209e+06
4731,Net loss,EQ,4,6005485046.00,5.83057e+07
4932,Net Income (Loss) Attributable to Parent,EQ,4,5937949232.00,1.81035e+07
4953,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,3,5783258000.00,2.53652e+07
4011,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,3,5767600000.00,1.72167e+07
4931,Temporary Equity, Carrying Amount, Attributable to Parent,EQ,2,5698960428.00,5.93642e+07
4931,Net proceeds from issuance of common stock and warrants,EQ,3,5493400000.00,1.05642e+08
4899,Stock Issued During Period, Value, Other,EQ,5,5466886916.00,5.20656e+07
4832,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,6,5459974000.00,1.40359e+07
4412,Issue of equity,EQ,5,5456868288.06,4.19759e+07
4522,Temporary Equity, Carrying Amount, Attributable to Parent,EQ,2,5453185000.00,9.08864e+07
4922,Partners' Capital Account, Option Exercise,EQ,2,5297394000.00,2.7881e+08
4512,Stock Issued During Period, Value, Employee Stock Purchase Plan,EQ,7,5096526154.00,1.21926e+07
4922,Stock Issued During Period, Value, New Issues,EQ,4,5078334000.00,1.01567e+08
4950,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,5063622716.00,8.43937e+07
4955,Net loss,EQ,5,5053012634.00,2.07091e+07
4700,Noncontrolling Interest, Decrease from Redemptions or Purchase of Interests,EQ,3,4968200000.00,7.41522e+07
4899,Stock Repurchased During Period, Value,EQ,3,4965144000.00,5.64221e+07
4832,Stock Issued During Period, Value, Acquisitions,EQ,2,4892400000.00,7.52677e+07
4953,Issuance of common stock and warrants, net of issuance costs,EQ,9,4854640622.00,1.67981e+07
4911,Increase (decrease) through changes in ownership interests in subsidiaries that do not result in loss of control, equity,EQ,3,4819817000.00,4.01651e+07
4700,Dividends,EQ,2,4798379539.00,6.75828e+07
4931,Proceeds from Noncontrolling Interests,EQ,2,4766400000.00,1.01413e+08
4911,Share-based expense,EQ,18,4755716378.00,7.23853e+06
4923,Stock Issued During Period, Value, Other,EQ,2,4688595558.00,2.6946e+07
4833,APIC, Share-based Payment Arrangement, Increase for Cost Recognition,EQ,5,4667352000.00,6.57374e+07
4813,Stock Issued During Period, Value, Restricted Stock Award, Gross,EQ,6,4657598783.00,1.16732e+07
4953,Treasury Stock, Retired, Cost Method, Amount,EQ,2,4632000000.00,3.56308e+08
4400,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,6,4608485702.00,3.11384e+07
4812,APIC, Share-based Payment Arrangement, Increase for Cost Recognition,EQ,3,4599488000.00,1.31414e+08
4400,Noncontrolling Interest, Increase from Business Combination,EQ,3,4518288000.00,4.47355e+07
4924,Other Comprehensive Income (Loss), Net of Tax,EQ,7,4500082000.00,7.62726e+06
4700,Net Loss January 31,2023,EQ,6,4455084982.00,2.68379e+07
4911,Increase (decrease) through other changes, equity,EQ,4,4453037000.00,9.96205e+06
4400,Share-based expense,EQ,7,4442054056.00,3.0425e+07
4822,Treasury Stock, Value, Acquired, Cost Method,EQ,3,4380242572.00,3.87632e+07
4911,Transfers of Assets under Common Control,EQ,2,4336000000.00,4.56421e+07
4941,Dividends, Common Stock,EQ,4,4281454000.00,8.51184e+06
4822,Stock Repurchased and Retired During Period, Value,EQ,2,4276390000.00,3.07654e+07
4512,Issuance of common stock and warrants, net of issuance costs,EQ,7,4270002752.00,1.64231e+08
4899,Stock Issued During Period, Value, New Issues,EQ,13,4266260196.00,1.82319e+07
4812,Profit (loss),EQ,5,4255215228.00,2.56338e+07
4412,Purchase of treasury shares,EQ,5,4239699138.00,3.71903e+07
4512,APIC, Share-based Payment Arrangement, Increase for Cost Recognition,EQ,10,4236939046.00,4.11353e+07
4841,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,7,4147929000.00,8.53483e+06
4522,Stock Issued During Period, Value, Acquisitions,EQ,4,4002758000.00,4.94168e+07
4841,Members' Equity,EQ,2,3999564000.00,3.07659e+08
4841,Share-Based Payment Arrangement, Decrease for Tax Withholding Obligation,EQ,5,3962981000.00,1.54804e+07
4731,Stock Issued During Period, Value, Acquisitions,EQ,3,3946056820.00,1.09613e+08
4833,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,5,3919861324.00,7.52373e+06
4931,Issuance of common stock and warrants, net of issuance costs,EQ,15,3914380031.00,1.08432e+07
4841,Adjustments to Additional Paid in Capital, Equity Component of Convertible Debt,EQ,2,3911716000.00,3.91172e+08
4522,Net Income (Loss) Attributable to Parent,EQ,6,3851150755.00,1.13269e+07
4931,Noncontrolling Interest, Decrease from Deconsolidation,EQ,4,3754888000.00,2.52006e+07
4899,Stock Issued During Period, Value, Issued for Services,EQ,5,3698408292.00,4.56594e+07
4213,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,13,3628236000.00,4.35563e+06
4922,Noncontrolling Interest, Decrease from Deconsolidation,EQ,3,3622000000.00,7.87391e+07
4731,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,3,3611584656.00,1.49239e+07
4412,Net Income (Loss) Available to Common Stockholders, Basic,EQ,2,3609506367.00,3.53873e+07
4953,Stock Issued During Period, Value, New Issues,EQ,10,3588366731.00,9.39363e+06
4931,Shares Issued, Value, Share-Based Payment Arrangement, before Forfeiture,EQ,2,3555000000.00,2.19444e+07
4731,Dividends, Common Stock, Cash,EQ,4,3491756000.00,1.6707e+07
4923,Net loss,EQ,5,3479566223.00,1.53285e+07
4400,Stock Issued During Period, Value, Acquisitions,EQ,3,3437549369.00,1.14585e+08
4841,Stock Issued During Period, Value, Employee Stock Purchase Plan,EQ,5,3377648000.00,1.79662e+07
4832,Share-Based Payment Arrangement, Decrease for Tax Withholding Obligation,EQ,4,3354706000.00,2.29774e+07
4833,Noncontrolling Interest, Decrease from Deconsolidation,EQ,4,3344052000.00,8.15622e+07
4931,Dividends, Preferred Stock, Cash,EQ,5,3342387000.00,5.04892e+06
4911,Temporary Equity, Carrying Amount, Attributable to Parent,EQ,4,3341617647.00,1.96566e+07
4700,APIC, Share-Based Payment Arrangement, Recognition and Exercise,EQ,2,3333000000.00,2.25203e+07
4922,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,4,3254296000.00,6.60101e+06
4610,Net loss,EQ,2,3196100000.00,3.36432e+07
4911,Stock Issued During Period, Value, Treasury Stock Reissued,EQ,2,3195448000.00,1.55876e+07
4412,Net Income (Loss) Attributable to Noncontrolling Interest,EQ,3,3193738000.00,2.55499e+07
4400,Partners' Capital Account, Distributions,EQ,3,3179235000.00,1.63038e+07
4412,Stock Redeemed or Called During Period, Value,EQ,7,3135092220.00,2.70267e+07
4522,Stock Issued During Period, Value, Conversion of Convertible Securities,EQ,3,3101024000.00,5.44039e+07
4400,Treasury Stock, Value, Acquired, Cost Method,EQ,6,3099779000.00,2.27925e+07
4922,Treasury Stock, Value, Acquired, Cost Method,EQ,2,3061033000.00,1.76938e+07
4700,Stock Issued During Period, Value, Warrants Exercised,EQ,2,3039400000.00,7.99842e+07
4832,Share-based expense,EQ,5,3027590000.00,2.19391e+07
4522,Issuance of common stock and warrants, net of issuance costs,EQ,3,3004325739.00,1.51734e+07
4931,Stock Issued During Period, Value, Employee Stock Purchase Plan,EQ,2,2961200000.00,7.25784e+06
4822,Net Income (Loss) Attributable to Parent,EQ,5,2947442740.00,6.23138e+06
4941,Issuance of common stock and warrants, net of issuance costs,EQ,9,2939627322.00,1.42011e+07
4412,Noncontrolling Interest, Decrease from Deconsolidation,EQ,4,2925181764.00,1.04471e+08
4923,Other Comprehensive Income (Loss), Net of Tax,EQ,2,2922357000.00,9.42696e+06
4941,Stock Issued During Period, Value, Other,EQ,2,2920354000.00,1.62242e+08
4833,Temporary Equity, Decrease From Redemption Of Units,EQ,2,2911000000.00,2.64636e+08
4412,Dividends, Preferred Stock,EQ,8,2902215029.00,5.50705e+06
4932,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,6,2901490000.00,1.48794e+07
4412,Stock Repurchased During Period, Value,EQ,8,2899047248.00,2.56553e+07
4522,Stock Issued During Period, Value, New Issues,EQ,4,2887803635.00,9.72324e+06
4210,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,4,2880561650.00,7.02576e+07
4700,Temporary Equity, Stock Issued During Period, Value, New Issues,EQ,2,2802432000.00,1.33449e+08
4911,Dividends, Preferred Stock, Cash,EQ,4,2793278000.00,5.45562e+06
4400,Noncontrolling Interest, Decrease from Deconsolidation,EQ,2,2726688000.00,9.08896e+07
4812,Net Loss January 31,2023,EQ,2,2677777796.00,4.18403e+07
4899,Stock Issued During Period, Value, Acquisitions,EQ,9,2672960098.00,1.97997e+07
4213,Share-based expense,EQ,11,2632370000.00,5.35035e+06
4922,Other Comprehensive Income (Loss), Net of Tax,EQ,9,2625144000.00,2.34179e+06
4924,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,6,2581866000.00,6.16197e+06
